observation1, observation2, generated hypothesis, real hypothesis
Beth wanted to give her mom a great present for Christmas.,She knitted her mom a warm homemade sweater for free!,Beth's mom was not happy with how the gift turned out. Beth bought her mom a sweater. Beth wanted to make a sweater,Beth found a box of yarn while cleaning her attic.
Dan wanted to find the perfect gift for his mother's birthday.,Dan yelled at his mom for being picky.,Dan's mother said no because she wanted a new watch. Dan didn't know what to get. So he asked his mom to buy him a watch,He bought her a necklace and she did not like it.
It started to rainy when we got in the car.,I rear ended the car in front of me.,I was driving and I hit a tree. I was driving and I hit a tree. I drove too fast,Visibility was greatly reduced but I drove on anyway.
Jenna came home from school and found a box on the porch.,Jenna immediately regretted her decision to open the box.,The box was very small. So she decided to open it. So she opened it,Jenna was excited and opened the box.
Ted loved rodents.,The rat got out of it's cage and it crawled into his parent's bed.,Ted saw a rat in his room. Ted's mother was in the hospital. Ted's mother was in the hospital,Ted tried to pet one but was careless.
Dan was hungry.,Dan returned to the couch and watched a movie with his snack.,Dan's friend made popcorn. So he decided to make some. So he made popcorn,Dan made some popcorn.
The cat chased the mouse across the empty warehouse.,The mouse got away.,The mouse ran off. The mouse was chased by a cat. The cat ran into a shed,The cat tripped over its feet and hit its head on the floor.
Anna left her purse on the bus one evening.,Anna was so happy she hugged him eagerly!,Anna's boyfriend came over to help her. Anna needed to go to the store. Anna's boyfriend told her he'd help her,A man found Anna's purse.
Gina and her sister sat on the porch waiting for their dad.,She gave him a quick hug and hopped in the car.,Gina's dad was coming to pick her up. he was going to drive her. he was going to pick her up,when their dad showed up they were excited.
Laura decided to fly all the way to New York City.,The compliments she got made Laura think the trip was worth it.,Laura had a great time on the trip. The trip was a great success. i had a great time,Laura got many compliments while in NYC.
Trisha was excited about letting someone live in their house.,Years later the guys still lives there and Trisha wonders can he move.,Trisha was shocked when she was evicted. Trisha was kicked out of her house. to get away from her,They decided to shelter multiple college students.
Edgar had just come home from the grocery store.,Later he went to the store and bought more eggs.,Edgar wanted eggs for breakfast. He had to go to the store. He had to go to the store,Edgar made cookies and cake.
Keith wanted to be a photographer.,He was so excited.,Keith took a class at the local college. So Keith took a class at his favorite university. So he decided to take a class,Keiths parents bought him a new camera for Christmas.
Yan was walking in public to a restaurant.,He immediately realized that his zipper was wide open.,Yan got a flat tire. The restaurant was closed. he had to walk to the restroom,Everyone looked at him and started laughing.
Lori's class was supposed to be dissecting frogs.,She picked up a knife and started dissecting the frog.,The teacher was teaching a lesson. They were going to dissect a frog. They were going to dissect a frog,Lori's class didn't take dissection serious.
As a child And always hated reptiles.,Now And loves reptiles and even owns a snake and pet lizard.,And saw a lizard at the pet store. i bought a lizard. i went to the pet store,They worked in a reptile pet store as an intern.
I was eating on my patio.,So I threw a butter knife at it and it flew away.,I saw a spider on the patio. I tried to poke it with a stick. I saw a spider,A bee landed on my food.
The driver's lined up in the starting grid.,They came across the line together a photo finish.,The race began and the drivers were separated. They raced in a race. They had to race,The race was very even.
Timmy got a check in the mail for his birthday.,They cashed his check and Timmy took his money home.,Timmy's parents gave him money for his birthday. Timmy's parents expected him to pay the check. Timmy asked for money,Timmy went to the bank.
One day my teacher allowed us to dismiss 30 seconds before the bell.,She pointed and laughed as I picked myself up off the floor.,I was so nervous I didn't even notice the scarily loud clanking of my desk. I was nervous to leave. I had to leave,I tried to run but stumbled upon a backpack.
As a child Andy had many toys.,As an adult Andy opened a toy museum and shared his love with others.,As an adult Andy's parents worked at the museum. he wanted to open a toy museum. he wanted to open a toy museum,Andy continued to love toys as he got older.
Gary tripped on a football player's shoe.,Gary ended up with a bruised face.,Gary hit a player. Gary was careless. Gary hit a player,Gary got hit by the football player.
Amy and Ben had been together for one month.,He gave her chocolates she gave him skittles.,Amy was sad when Ben said he loved her. So Amy asked Ben to buy her a box of skittles. So Amy asked Ben to buy her a box of skittles,The exchanged gifts on their anniversary.
We went to the beach today.,We had a lot of fun building our sand castle.,We spent the day building our sand castle. We spent a lot of time building it. i spent a lot of time building it,We used ocean water and sand for construction.
